Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xD9eIAE,Cancellation,11/1/2022
800Do000000xDH8IAM,Cancellation,11/1/2022
800Do000000xECxIAM,Cancellation,11/1/2022
800Do000000xEDZIA2,Cancellation,11/1/2022
800Do000000xEZqIAM,Cancellation,11/1/2022
800Do000000xEhlIAE,Cancellation,11/1/2022
800Do000000xEwcIAE,Cancellation,11/1/2022
800Do000000xFDpIAM,Cancellation,11/1/2022
800Do000000xFGZIA2,Cancellation,11/1/2022
800Do000000xFPZIA2,Cancellation,11/1/2022
800Do000000xFQ0IAM,Cancellation,11/1/2022
800Do000000xFSNIA2,Cancellation,11/1/2022
800Do000000xFdeIAE,Cancellation,11/1/2022
800Do000000xFk7IAE,Cancellation,11/1/2022
800Do000000xFlVIAU,Cancellation,11/1/2022
800Do000000xFpjIAE,Cancellation,11/1/2022
800Do000000xG0QIAU,Cancellation,11/1/2022
800Do000000xG0oIAE,Cancellation,11/1/2022
800Do000000xGLPIA2,Cancellation,11/1/2022
800Do000000xGMKIA2,Cancellation,11/1/2022
800Do000000xGTDIA2,Cancellation,11/1/2022
800Do000000xGU3IAM,Cancellation,11/1/2022
800Do000000xGeGIAU,Cancellation,11/1/2022
800Do000000xGetIAE,Cancellation,11/1/2022
800Do000000xHEmIAM,Cancellation,11/1/2022
800Do000000xHL5IAM,Cancellation,11/1/2022
800Do000000xHTeIAM,Cancellation,11/1/2022
800Do000000xHVNIA2,Cancellation,11/1/2022
800Do000000xHe0IAE,Cancellation,11/1/2022
800Do000000xHhbIAE,Cancellation,11/1/2022
800Do000000xHqVIAU,Cancellation,11/1/2022
800Do000000xHtWIAU,Cancellation,11/1/2022
800Do000000xHyoIAE,Cancellation,11/1/2022
800Do000000xI26IAE,Cancellation,11/1/2022
800Do000000xAg3IAE,Cancellation,11/1/2022
800Do000000xB0oIAE,Cancellation,11/1/2022
800Do000000xBCFIA2,Cancellation,11/1/2022
800Do000000xBMSIA2,Cancellation,11/1/2022
800Do000000xBN0IAM,Cancellation,11/1/2022
800Do000000xBNwIAM,Cancellation,11/1/2022
800Do000000xBY8IAM,Cancellation,11/1/2022
800Do000000xBocIAE,Cancellation,11/1/2022
800Do000000xBtGIAU,Cancellation,11/1/2022
800Do000000xC0EIAU,Cancellation,11/1/2022
800Do000000xC0GIAU,Cancellation,11/1/2022
800Do000000xCS3IAM,Cancellation,11/1/2022
800Do000000xCS5IAM,Cancellation,11/1/2022
800Do000000xCS6IAM,Cancellation,11/1/2022
800Do000000xCSBIA2,Cancellation,11/1/2022
800Do000000xCapIAE,Cancellation,11/1/2022
800Do000000xCaqIAE,Cancellation,11/1/2022
800Do000000xCihIAE,Cancellation,11/1/2022
800Do000000xEBPIA2,Cancellation,11/1/2022
